Year,Rating
2014,6.837755102040816
2012,6.924999999999999
2016,6.436700336700337
2015,6.602362204724411
2007,7.1339622641509415
2011,6.83809523809524
2008,6.784615384615384
2006,7.125000000000001
2009,6.96078431372549
2010,6.826666666666668
2013,6.812087912087911
